id,question,is_original,rewrite_from,module,discipline,discipline_group,course,task_type,supplementary_material
16,Do you agree or disagree with the following statement? Television has destroyed communication among friends and family. Use specific reasons and examples to support your opinions.,1,,,,,,,
17,Universities should accept equal numbers of male and female students in every subject. To what extent do you agree or disagree?,1,,,,,,,
18,Some young adults want independence from their parents as soon as possible. Other young adults prefer to live with their families for a longer time. Which of these situations do you think is better?,1,,,,,,,
19,Some people believe that the government is responsible for cleaning up the environment while other people belief it should be the responsibility of companies and private individuals. Whats you opinion? ,1,,,,,,,
20,High sales of a product are mainly due to good advertisment strategies. To what extend to you agree or disagree?,1,,,,,,,
21,Some people believe a country will benefit greatly by a high percentage of young people go to university. Others argue that it only leads to unemployment. Discuss both and give your own opinion.,1,,,,,,,
22,"There are social, medical and technical problems associated with the use of mobile phones. What form do these problems take? Do problems of using mobile phones outweigh the benefits?",1,,,,,,,
23,Using computer every day can have more negative than positive effects on your children? do you agree or disagree?,1,,,,,,,
24,Large factory near your community. Advantages and disadvantages of this new influence on your community.,1,,,,,,,
25,Food is now easier to prepare. Is this a good thing?,1,,,,,,,
26,The best and only way to assist developing countries is to provide them with financial aid. To what extent do you agree or disagree?,1,,,,,,,
27,Society should ban all forms of the advertising because it has no purpose and causes damages. Do you agree or disagree? ,1,,,,,,,
28,Nowadays there are more opportunities for women than there were in the past. Some people think that women should work to earn money whereas other people belief that women should care about household. What's your opinion?,1,,,,,,,
29,"The government has to provide primary and secondary education, but for university education either students or their parents should pay. To what extent do you agree?",1,,,,,,,
30,The first car appeared on British roads in 1888. By the year 2000 there may be as many as 29million vehicles on British roads. Alternative forms of transport should be encouraged and international laws introduced to control car ownership and use. To what extend do you agree or disagree?,1,,,,,,,
31,Rich countries should provide financial help to poor contries. To what extend to you agree or disagree?,1,,,,,,,
32,"Even though globalization affects the world's economics in a very positive way, its negative side should not be forgotten. To what extend do you agree or disagree?",1,,,,,,,
33,Many children are forced to stay at school and study subjects that will be of little value to them in the future. These children may disrupt the education of the majority and should be allowed to leave school early to find a themselves a job. What are your views?,1,,,,,,,
34,"Today, the high sales of popular consumer goods reflect the power of advertising and not the real needs of the society in which they are sold. To what extent do you agree or disagree?",1,,,,,,,
35,Why should the ownership of guns be limited?,1,,,,,,,
36,Popular events like the football World Cup and other international sporting occasions are essential in easing international tensions and releasing patriotic emotions in a safe way. To what extent do you agree or disagree with this opinion?,1,,,,,,,
37,"Some people believe that the range of technology available to individuals today is increasing the gap between rich people and poor people, while others say that technology has the opposite effect. Discuss both views and give your opinion.",1,,,,,,,
38,Governments spent a lot of money for traveling outer space. Do you think the investment is reasonable? Give your own opinion and reasons to support you claim,1,,,,,,,
39,"In some countries, teenagers have jobs while they are still students. Do you think is a good idea? Support your opinion with specific details.",1,,,,,,,
40,Some schools send their students to institutions/organizations for a short to do some unpaid work. To what extent is it beneficial to the students and the organizations/institutions?,1,,,,,,,
41,Paying more money is the only possible motivation to make employees work harder and to increase their productivity. To what extent do you agree or disagree?,1,,,,,,,
42,Popular events like the football World Cup and other international sporting occasions are essential in easing international tensions and releasing patriotic emotions in a safe way. Do you agree or disagree?,1,,,,,,,
43,Government should make more effort to promote alternative sources of energy. To what extent do you agree or disagree with this opinion.,1,,,,,,,
44,The government should aid unemployed people by direct financial help. Do you agree or disagree with this statement?,1,,,,,,,
45,"Some people think that universities should provide graduates with the knowledge and skills needed in the workplace. Others think that the true function of a university should be to give access to knowledge for its own sake, regardless of whether the course is useful to an employer. What, in your opinion, should be the main function of a university",1,,,,,,,
46,Do you agree or disagree with the following statement? A zoo has no useful purpose. Use specific reasons and examples to explain your answer.,1,,,,,,,
47,"Nowadays, distance-learning programs are such common thing for us, but some people argue that they're not as good as those by attending in a college or university in person. To what extent do you agree or disagree?",1,,,,,,,
48,"Some people have benefited from modern communication technology, but some people have not benefited from it at all. To what extent do you agree or disagree?",1,,,,,,,
49,Some people argue that musical lessons should be made mendatory in high school sducation while others argue that it's a wast of time for students. What is your opinion?,1,,,,,,,
50,Do you agree or disagree with the following statement? Universities should give the same amount of money to their students' sport activities as they give to their university libraries.,1,,,,,,,
51,English is making many lesser-known languages die out each year. To what extent do you think the advantages outweigh the disadvantages?,1,,,,,,,
52,"Some people believe that humans should be able to use animals for their own benefit, while others argue that the rights of animals should be protected.",1,,,,,,,
53,Modern technology has made it possible for people to view exhibitions at home so museums and art galleries will disappear soon. To what extent do you agree or disagree?,1,,,,,,,
54,"Some people believe that teenagers should learn all school subjects, while others claim that students should focus on the subjects that they are best at or that they are interested in. Discuss both views and give your opinion.",1,,,,,,,
55,"Creative artists should always be given the freedom to express their own ideas (in words, pictures, music or film) in whichever way they wish. there should be no government restrictions on what they do. to what extent do you agree or disagree?",1,,,,,,,
56,some people think that a sense of competition in children should be encouraged. Others believe that children who are taught to co-operate rather than compete become more useful adults. Discuss both these views and give your opinion.,1,,,,,,,
57,Without capital punishment (the death penalty) our lives are less secure and crimes of violent increase. Capital punishment is essential to control violence in society. To what extent do you agree or disagree?,1,,,,,,,
58,"In some countries, young people are encouraged to work or travel for a year between finishing high school and starting university studies. Discuss the advantages and disadvantages for young people who decide to do this.",1,,,,,,,
59,"We are becoming increasingly dependent on computers. They are used in business, hospitals, crime detection and even to fly planes. What things will they be used for in future? Is this dependence on computers a good thing or should we be more suspicious of their benefits?",1,,,,,,,
60,Do you agree or disagree with the statement: people will spend less time on cooking food,1,,,,,,,
61,Traditional games are more useful than modern games in developing children's skills. To what extent do you agree?,1,,,,,,,
62,Some people said the government shouldn't put money on building theaters or sports stadiums but should spend more money on medical care and education. Do you agree or disagree?,1,,,,,,,
63,"When a country develops its technology, the traditional skills and ways of life die out. It's pointless to try and keep them alive. To what extent do you agree or disagree with this opinion?",1,,,,,,,
64,"Creative artists should be given freedom to express their ideas (words, pictures, music and films. However some people think government should take some restriction with them. To what extent do you agree or disagree with this opinion?",1,,,,,,,
65,The government should control the amount of violence in the media to reduce the number of violent crimes. To what extent do you agree or disagree?,1,,,,,,,
66,Nowadays there are more opportunities for women than there were in the past. Some people think this situation has caused more problems than it has solved. Do you agree or disagree? Give reasons or your answer,1,,,,,,,
67,Increasing the price of petrol is the best way to solve growing traffic and pollution problems. To what extent do you agree or disagree? What other measures do you think might be effective?,1,,,,,,,
68,Should advertisements be banned? To what extend do you agree or disagree?,1,,,,,,,
69,"People have different ways of escaping the stress and difficulties of modern life. Some read, some exercise, others work in their gardens. What do you think are the best ways of reducing stress? Use specific details and examples to support your opinion.",1,,,,,,,
70,"In the modern world, the image (photograph or film) is becoming a more powerful way of communication than the written word. To what extent do you agree or disagree?",1,,,,,,,
71,"Several languages are in danger of extinction because they are spoken by very small numbers of people. Some people say that governments should spend public money on saving these languages, while others believe that would be a waste of money. Discuss both these views and give your opinion.",1,,,,,,,
72,"Many people think arts and music do not improve the quality of life, and the government should spent money on other things rather than the arts such as music and painting, to what extent agree or disagree_",1,,,,,,,
73,"Some people say the government should pay for the health care and education, but others say that it is not the government's responsibility. Discuss both views and give your own opinion.",1,,,,,,,
74,Many people think zoos that keep wild animals in a man-made environment should be no longer exist in the 21st century. To what extent do you agree or disagree with this opinion?,1,,,,,,,
75,Some industrialized countries have serious environmental problems. The damage to the environment is an inevitable result when a country tends to improve the standard of living. To what extent do you agree or disagree?,1,,,,,,,
76,"Some people argue that the government should spend money on public services and facilities, but not on the arts. Do you agree or disagree?",1,,,,,,,
77,"Do you agree or disagree with the following statement? Animals should be free, people should not keep them in zoos. Use specific reasons and examples to support your answer.",1,,,,,,,
78,"Creative artists should always be given the freedom to express their own ideas (in words, picture, music or film) in whichever way they wish. There should be no government restrictions on what they do. To what extent do you agree or disagree with this?",1,,,,,,,
79,"Advertising is all around us, it is an unavoidable part of everyone's life. Some people say that advertising is a positive part of our lives while others say it is negative. Discuss both views and give your own opinion. Give reasons for your answer and include any relevant examples from your own knowledge or experience. ",1,,,,,,,
80,The nuclear power provide clean and cheap energy. The advantages of nuclear technology outweigh the disadvantages. Do you agree or disagree ?,1,,,,,,,
81,Some people argue that the government should give every unemployed person a mobile phone and should make sure they have access to the Internet. They believe this is the best way of using the public money to reduce the problem of unemployment. To what extent do you agree or disagree? ,1,,,,,,,
82,"The use of close circuit television (CCTV) cameras in streets, stations, shops and other public places has increased rapidly in recent years. Although we are told that these cameras help in the fight against crime, some people are opposed to their use. They believe that everyone has a right to privacy. What are your views?",1,,,,,,,
83,It is better for children to grow up in the countryside than in a big city? Do you agree or disagree?,1,,,,,,,
84,Some people prefer to take a position in a company and work for the company. Other people think is better to go into business for themselves. Which do you think is better?,1,,,,,,,
85,"The expression ""Never,never give up"" means keep trying and never stop working for your goal. Do you agree or disagree with this statement?",1,,,,,,,
86,"Some people think that human needs for farmland, housing and industry are more important than saving land for endangered animals. Do you agree or disagree with this point of view?",1,,,,,,,
87,One should never judge a person by external appearance. Do you agree or disagree with this statement?,1,,,,,,,
88,Some people believe that there should be a single international language. Others believe that this would make it difficult to maintain the identity of cultures. What's your opinion?,1,,,,,,,
89,Fashion trends are difficult to follow these days and it is believed that they primarily just to sell clothes. Some people believe that we should not follow them and that we should dress in what we like. To what extent do you agree or disagree?,1,,,,,,,
90,Should wealthy nations be required to share their wealth among poorer nations by providing such things as food and education? Or is it the responsibility of the governments of poorer nations to look after their citizens themselves?,1,,,,,,,
91,"Out of our country's health budget, a large proportion should be diverted from treatment to spend on health education and preventative measures. To what extent do you agree or disagree with this statement?",1,,,,,,,
92,The popularity of news media often has significant influence on people' lives. Some people believe that to be a negative development. Do you agree or disagree?,1,,,,,,,
93,"Under British and Australian laws, a jury in a criminal case has no access to information about the defendant's past criminal record. This protects the person who is being accused of the crime. Some lawyers have suggested that this practice should be changed and that a jury should be given all the past facts before they reach their decision about the case. Do you agree or disagree? ",1,,,,,,,
94,Popular events like the football World Cup and other international sporting occasions are essential in easing international tensions and releasing patriotic emotions in a safe way. To what extent do you agree or disagree?,1,,,,,,,
95,"In many countries, children are engaged in some kind of paid work. Some people regard as completely wrong, while others consider it as some kind of work experience, important for learning and taking responsibilities. What are your opinions on this?",1,,,,,,,
96,In some countries young people are encouraged to work or travel for a year between finishing high school and starting university studies. Discuss the advantages and disadvantages for young people who decide to do this.,1,,,,,,,
97,The qualities a person needs to become successful in today's world cannot be learned at a university or similar academic institution. To what extent do you agree or disagree?,1,,,,,,,
98,"People should be allowed to continue to work for as long as they want to, and not forced to retire at a particular age such as 60 or 65. Do you agree or disagree? ",1,,,,,,,
99,Some people claim that public museums and art galleries will not be needed because people can see historical objects and works by using computer. To what extent do you agree or disagree?,1,,,,,,,
100,Under British and Australian laws a jury in a criminal case has no access to information about the defendant's past criminal record. This protects the person who is being accused of the crime. Some lawyers have suggested that this practice should be changed and that a jury should be given all the past facts before they reach their decision about the case. Do you agree or disagree?,1,,,,,,,
101,University lecturers are now able to put their lectures on the internet for students to read and so the importance of attending face to face lectures has been reduced. Do you believe the use of Internet in formal education is a good idea and what are the effects that the internet has on future academic study? ,1,,,,,,,
102,Many people in the undeveloped world die from diseases that are curable because they can't afford the medication to treat themselves. Do you believe that drug companies in the developed world should be obliged to make their products available at reduced prices in these undeveloped countries so that people do not die unnecessarily?,1,,,,,,,
103,Some businesses prohibit smoking in any of their offices. Some governments have banned smoking in all public places. Do you agree or disagree?,1,,,,,,,
104,"Some people say we humans are harming the Earth through our activities, but other people say we are improving the quality of life on our planet. Which opinion do you agree with ?",1,,,,,,,
105,"Some people believe that in order to give opportunities to new generations, companies should encourage high level employees who are older than 55 to retire. Do you agree or disagree?",1,,,,,,,
106,"Some people believe that the media, such as the press, TV and internet should be more strictly controlled. Others feel that controls should be loosened to give people freer access to information. Which opinion do you agree with?",1,,,,,,,
107,"Some people think that paying taxes is enough to contribute to the society. Others argue that being a citizen involves more responsibilities. Discuss, what is your opinion?",1,,,,,,,
108,Testing on animals should be made illegal. Agree or disagree?,1,,,,,,,
109,"Many people believe that formal ""pen and paper"" examinations are not the best method of assessing educational achievement. What is your view of examinations? ",1,,,,,,,
110,"Improvements in health, education and trade are essential for the development of poorer nations. However, the governments of richer nations should take more responsibility for helping the poorer nations in such areas.",1,,,,,,,
111,"As computers are being used more and more in education, there will be soon no role for teachers in the classroom. Agree or disagree.",1,,,,,,,
112,"Food can be produced cheaper if we use improved fertilisers and better machinery. However some of methods may be dangerous for human health, and have negative effects for local communities. What is your opinion?",1,,,,,,,
113,Some people think that government should spend money on other important subjects rather helping artists. Do you agree or disagree?,1,,,,,,,
114,"Development in technology causes environmental problems. Some people believe the solution in these problems is everyone accepts a simpler way of life, while others say that technology can solve these problems. Discuss both view and give your own opinion. ",1,,,,,,,
115,Professional athletes (such as football stars) and entertainers (such as singers and actors) are paid too much money for the work they do. Use specific details and examples to support your answer. ,1,,,,,,,
116,Some people think that computers and the Internet are more important for a child's education than going to school. But others believe that schools and teachers are essential for children to learn effectively. Discuss both views and give your own opinion.,1,,,,,,,
117,Capital punishment (the death penalty) is necessary in order to control the amount of violent crimes in society. To what extent do you agree or disagree?,1,,,,,,,
118,Businesses should do anything they can to make a profit. Do you agree or disagree with this statement?,1,,,,,,,
119,It is recently announced that a new high school may be built in your neighborhood. Do you support or oppose this plan?,1,,,,,,,
120,Parents or other adult relatives should make important decisions for their older (15 - 18 year old) teenaged children. Do you agree or disagree with this statement?,1,,,,,,,
121,Childhood is the happiest time of a person's life. Do you agree or disagree with this statement?,1,,,,,,,
122,People attend college and university for many reasons. Why do you think people attend college and university? Use specific reasons and examples to support your idea.,1,,,,,,,
123,Do you agree or disagree? It's better to have one or two close friends than to have a large number of casual acquaintances.,1,,,,,,,
124,Do you agree or disagree with the following statement? Life today is easier and more comfortable than it was when your grandparents were children. Use specific reasons and examples to support your answer.,1,,,,,,,
125,High school should allow students to study the courses that students want to study. Agree or disagree?,1,,,,,,,
126,Some people are always in a hurry to go places and get things done. Other people prefer to take their time and live life at a slower pace. Which do you prefer? Use specific reasons and examples to support your answer. ,1,,,,,,,
127,"Tourism is a multibillion-dollar industry that supports economic development. However, some people think that it causes too much damage to the local environment and culture. What do you think?",1,,,,,,,
128,"The government should allocate more funds to public services instead of wasting money on arts such as music, painting and so on. Do you agree or disagree with this statement? Give your own opinion",1,,,,,,,
129,The idea of having a single career is becoming an old fashioned one. The new fashion will be to have several careers or ways of earning money and further education will be something that continues throughout life.,1,,,,,,,
130,Some people think that computers are more of a hindrance than a help in today's society. Others believe that they are such indispensable tools that they would not be able to live or work without them. Discuss both opinions and give your opinion,1,,,,,,,
131,"Some employers are giving increased importance to social skills. However, others still believe qualifications are the most important. Discuss both views and give your own opinion. ",1,,,,,,,
132,"Some people believe that charities should give aid to those who need the aid most, wherever they live. Some people believe that charity organisations would better concentrate on people in their own countries instead. Discuss both views and give your own opinion.",1,,,,,,,
133,"Many people use distance-learning programmes (study material post,TV,internet...)to study at home. But some people think that it cannot bring the benefit as much as attending college or university. Do you agree or disagree?",1,,,,,,,
134,"There are many extinct species in the world nowadays. Some people say we should protect these animals from dying out, while others say we should concentrate more on problems of human beings. Discuss both opinions and give your personal view.",1,,,,,,,
135,Universities should accept equal numbers of male and female students in every subject. To what extend do you agree or disagree.,1,,,,,,,
136,"Do you agree or disagree with the following statement? Face-to-face communication is better than other types of communication, such as letters, email, or telephone calls. Use specific reasons and details to support your answer.",1,,,,,,,
137,One of the consequences of improved medical care is that people are living longer and life expectancy is increasing. Do you think the disadvantages of this development outweight the disadvantages?,1,,,,,,,
138,Successful people do something new or take risks rather than only doing something they know how to do well. AGREE OR DISAGREE.,1,,,,,,,
139,Some people believe that a college or university education should be available to all students. Others believe that higher education should be available only to good students. Discuss these views. Which view do you agree with? Explain why.,1,,,,,,,
140,Agree or disagree? Universities spend money on improving facilities (labs and general requirements) better than hiring famous teachers. ,1,,,,,,,
141,Do you agree or dis agree with the following statement? High schools should allow students to study the courses that students want to study. Use specific reasons and examples to support your opinion.,1,,,,,,,
142,Do you agree or disagree with the following statement? Games are as important for adults as they are for children. Use specific reasons and examples to support your answer.,1,,,,,,,
143,Do you agree or disagree with the following statement? Modern technology is creating a single world culture. Use specific reasons and examples to support your answer.,1,,,,,,,
144,Do you agree or disagree with the following statement: Nowadays it is much easier to achieve success with the help from one's family than what is like before,1,,,,,,,
145,Do you agree or disagree with the following statement? Reading fiction (such as novels and short stories) is more enjoyable than watching movies. Use specific reasons and examples to explain your position.,1,,,,,,,
146,Several languages die every year. Many people feel this is a positive trend and that a world with fewer language promotes harmony and understanding between people. Analyze both sides of this argument and provide your opinion.,1,,,,,,,
147,Elderly people think that the way they spent their life was simpler and better than today. Do you agree or disagree? Provide you reasons and real life example,1,,,,,,,
148,Some people say that all secondary school and higher school students should be taught how to manage money as its an important life skill. Do you agree or disagree with this argument?,1,,,,,,,
149,"Some single people like to live with a roommate, while others prefer to live alone. Which would you prefer? Give specific reasons and examples to support your answer.",1,,,,,,,
150,"Do you agree or disagree with the following statement? Smoking should not be permitted in restaurants, and state laws that prohibit it should be upheld.",1,,,,,,,
151,Do you agree or disagree with the following statement? Growing violence in films has affected youngsters in a negative way?,1,,,,,,,
152,"Agree or disagree: In order to be well-informed, a person must get information from many different news sources.",1,,,,,,,
153,Some people argue that there is no point in persevering old buildings when land is so valuable in our cities. Others believe that old buildings are important part of our heritage and should be preserved. Discuss both these views and state your opinion.,1,,,,,,,
154,"Nowadays, many young people say that mobile phones are the most important thing in their life. Do you think the popularity of mobile phones to young people is a good or bad development? Give relevant examples from your own experience.",1,,,,,,,
155,"Some people believe that there should be fixed punishments for each type of crime. Others, however,argue that the circumstances of an individual crime, and the motivation for committing it, should always be taken into account when deciding on the punishment.",1,,,,,,,
156,Some people prefer to spend their free time outdoors. Other people prefer to spend their leisure time indoors. Would you prefer to be outside or would you prefer to be inside for your leisure activities? Use specific reasons and examples to explain your choice.,1,,,,,,,
157,"Many people think that cheap air travel should be encouraged because it gives ordinary people the freedom to travel further. However, others think that this leads to environmental problem, and so air travel should be more expensive in order to discourage people from having it. Discuss both sides and give your own opinion.",1,,,,,,,
158,Some people prefer to live in a small town. Others prefer to live in big city. Which place would you prefer to live in? Use specific examples to support your answer. ,1,,,,,,,
159,Salary increases and promotions to new positions are not the only ways to reward employees for good work. What other rewards for good work can be effective in encouraging further good work? Use specific examples to support your response.,1,,,,,,,
160,Some people believe that university students should be required to attend classes. Others believe that going to classes should be optional for students. Which point of view do you agree with? Use specific reasons and details to explain your answer.,1,,,,,,,
161,Some people prefer to live in a small town. Others prefer to live in big city. Which place would you prefer to live in?,1,,,,,,,
162,Some people say that computers have made life easier and more convenient. Other people say that computers have made life more complex and stressful. What is your opinion? Use specific reasons and examples to support your answer. ,1,,,,,,,
163,Computers and modems have made it possible for office workers to do their work from home instead of working in offices every day. Working from home should be encouraged for workers and employees as it is good. Do you agree or dis? ,1,,,,,,,
164,"Some people think that a university professor should focus time on doing research, while others think that the main role of a professor is to educate students in a university. What is your opinion and why? Use specific reasons to support your answer. ",1,,,,,,,
165,"Technological progress in the past century has its negative effect, despite its remarkable contribution. To what extent do you agree or disagree?",1,,,,,,,
166,"""Prevention is better than cure"". Out of a country's health budget, a large proportion should be diverted from treatment to spending on health education and preventative measures. To what extent do you agree or disagree with this statement?",1,,,,,,,
167,"Students at a university often have a choice of places to live. They may choose to live in university dormitories, or they may choose to live in apartments in the community. Compare the advantages of living in university housing with the advantages of living in an apartment in the community. where would you prefer to live? Give reasons for your preference.",1,,,,,,,
168,"Some movies are serious, designed to make the audience think. Other movies are designed primarily to amuse and entertain. Which type of movie do you prefer? Use specific reasons and examples to support your answer.",1,,,,,,,
169,"Do you agree or disagree with the following statement? Television, newspapers, magazines, and other media pay too much attention to the personal lives of famous people such as public figures and celebrities. Use specific reasons and details to explain your opinion.",1,,,,,,,
170,Many people visit museums when they travel to new places. Why do you think people visit museums? Use specific reasons and examples to support your answer.,1,,,,,,,
171,"In the future, students may have the choice of studying at home by using technology such as computer or television or studying or traditional school? Which would you prefer? Use specific details to explain your choice.",1,,,,,,,
172,It has recently been announced that a large shopping center may be built in your neighborhood. Do you support or oppose this plan? Why? Use specific reasons and details to support your answer.,1,,,,,,,
173,What is a very important skill a person should learn in order to be successful in the world today? Choose one skill and use specific reasons and examples to support your choice.,1,,,,,,,
174,Groups or organizations are an important part of some people's lives. Why are groups or organizations important to people? Use specific reasons and examples to explain your answer.,1,,,,,,,
175,The government has announced that it plans to build a new university. Some people think that your community would be a good place to locate the university. Compare the advantages and disadvantages of establishing a new university in your community. Use specific details in your discussion,1,,,,,,,
176,"While some pelple believe that the government should provide a college education free to any citizen who wants it, others beleve that it is up to the individual to finance his/her own education. ",1,,,,,,,
177,Do you agree or disagree with the following statement? Television has destroyed communication among friends and family. Use specific reasons and examples to support your opinion.,1,,,,,,,
178,"Do you agree or disagree with the following statement? Attending a live performance (a play, concert, sporting event, etc) is more enjoyable than watching the same event on television. Use specific reasons and examples to support your opinion.",1,,,,,,,
179,"Renewable resources of energy (Sun, wind, water) will soon replace fossils fuels such as gases, oil, and coal. Do you agree or disagree?",1,,,,,,,
180,"Some people think that human needs for farmland, housing and industry are more important than saving land for endangered animals. Do you agree or disagree this point of view? Why or why not. Use specific reasons and examples to support your answer.",1,,,,,,,
181,Some people think that learning a foreign language in its original country is more beneficial than learning the language in a countr with another language. Do you agree or disagree?,1,,,,,,,
182,Some people say that physical exercise should be required part of every school day. Other people believe that students should spend the whole school day on academic studies. Which opinion do you agree with?,1,,,,,,,
183,Some people believe that zoos serve useful function. Other people believe that it's cruel & wrong to confine animals in zoos. Tell which point of view you are agree with.,1,,,,,,,
184,Some students prefer to study alone. Others prefer to study with a group of students. Which do you prefer? Use specific reasons and examples to support your answer.,1,,,,,,,
185,Some people prefer to spend time with one or two close friends. Other choose to spend time with a large number of friends. Compare the advantages of each choice. Which of these two ways of spending time do you prefer? Use specific reasons to support your answers.,1,,,,,,,
186,"Should government spend more money on improving roads and highways or should government spend more money on improving public transportation (Buses, trains,subways)?",1,,,,,,,
187,A university plans to develop a new research center in your country. Some people want a center for business research. Other people want a center for research in agriculture (farming). Which of these two kinds of research centers do you recommend for your country? Use specific reasons in your recommendation.,1,,,,,,,
188,"People learn in different ways. Some people learn by doing things, other people learn by reading about things, others learn by listening to people talk about things. Which of these methods of learning is best for you? Use specific examples to support your choice.",1,,,,,,,
189,"Should governments spend more money on improving roads and highways, or should governments spend more money on improving public transportation(buses, trains, subways)? Why? ",1,,,,,,,
190,Some students prefer to study alone. Others prefer to study with a group of students. Which do you prefer? Use specific reasons and examples to support your answer?,1,,,,,,,
191,Some people believe that the Earth is being harmed (damaged) by human activity. Others feel that human activity makes the Earth a better place to live. What is your opinion? Use specific reasons and examples to support your answer.,1,,,,,,,
192,A company is going to give some money either to support the arts or protect the environment. Which do you think the company chooses? Use specific reasons and examples to support your answer.,1,,,,,,,
193,"We all work or will work in our jobs with many different kinds of people. In your opinion, what are some important characteristics of a co-worker (Someone you work closely with) ? Use reasons and specific examples to explain why these characteristics are important. ",1,,,,,,,
194,When people succeed it is because of hard work. Luck has nothing to do with success. Do you agree or disagree with the quotation above? Use specific reasons and examples to explain your position.,1,,,,,,,
195,Distance learning and online computer classes should replace classroom learning.,1,,,,,,,
196,Some people prefer to live in a small town. Others prefer to live in a big city. Which place would you prefer to live in? Use specific reasons and details to support your answer.,1,,,,,,,
197,"In many countries, young people leave rural areas to study or work in cities. What do you think are reason of this? Do you think the advantages outweigh the disadvantages?",1,,,,,,,
198,Do you agree or disagree with the following statement. High school students should take a course on basic economics,1,,,,,,,
199,"University education should be restricted to the very best academic students, rather than being available to a large proportion of young people. To what extent do you agree or disagree?",1,,,,,,,
200,"Prevention is better than cure. Out of a country's health budget, a large proportion should be diverted from treatment to spending on health education and preventative measures. To what extent do you agree or disagree with this statement?",1,,,,,,,
201,"With the pressures on todayÕs young people to succeed academically, some people believe that non-academic subjects at school (eg: physical education and cookery should be removed from the syllabus so that children can concentrate wholly on academic subjects. To what extent do you agree or disagree?",1,,,,,,,
202,"When people move to another country, some of them decide to follow the customs of the new country. Others prefer to keep their own customs. Compare these two choices. Which one do you prefer? Support your answer with specific details.",1,,,,,,,
203,Is it more important to be able to ework with a group of people on ta tem or to work independently? Use reasons and specific examples to support your answer.,1,,,,,,,
204,Do you agree or disagree with the following statement? Smoking should not be promitted in restaurants and state laws that prohibit it should be upheld. Use examples and specific reasons to support your position.,1,,,,,,,
205,Do you agree that people should have hobbies and do physical activities that are very different from one's work?,1,,,,,,,
206,"Should government spend more money on improving roads and highways, or should governments spend more money on improving public transportation (buses, trains, subways)? Why? Use specific reasons and details to develop your essay.",1,,,,,,,
207,Some people believe that the best way of learning life is by listening to the advice of family and friends. Other people believe that the best way of learning about life is through personal experience. Compare the advantages of these two different ways of learning about life. Which do you think is preferable?,1,,,,,,,
208,Do you agree or disagree with the following statement? Childhood is the happiest time of a person's life.,1,,,,,,,
209,"Nowadays, food has become easier to prepare. Has this change improved the way people live? Use specific reasons and examples to support your answer.",1,,,,,,,
210,Some young adults want independence from their parents as soon as possible. Other young adults prefer to live with their families for a longer time. Which of these situations do you think is better? Use specific reasons and examples to support your opinion.,1,,,,,,,
211,Do you agree or disagree with the statement that a zoo has no useful purpose. Use specific reasons and example to explain your answer.,1,,,,,,,
212,Parents are the best teacher for young children. To what extend do you argee or disagree?,1,,,,,,,
213,Some people say that television has a bad influence to young children. To what extend do you agree or disagree?,1,,,,,,,
214,Businesses should hire employees for their entire lives. Do you agree or disagree. Use specific reasons and examples to support your answer. ,1,,,,,,,
215,Do you agree or disagree with the following statement? Childhood is the happiest time of a person's life. Use reasons and specific examples to support your opinion.,1,,,,,,,
216,Learning about the past has no value on for those of us living the present. Do you agree or disagree? Use specific reasons and examples to support your answer.,1,,,,,,,
